Level,Item Number,Partnumber,Manufacturer P/N,Quantity
3,2,61-00653,R0603-10R-63mW-1%-400ppm-50V,4
3,3,61-00688,R0603-3k-63mW-1%-400ppm-50V,1
3,4,61-00693,R0603-10k-63mW-0%1-50ppm-50V,1
3,5,61-00652,R0603-10k-63mW-1%-400ppm-50V,8
3,6,61-00655,R0603-12k-63mW-1%-400ppm-50V,2
3,7,61-00689,R0603-27k-63mW-1%-400ppm-50V,4
3,8,61-00705,R0603-47k-63mW-0%1-50ppm-50V,3
3,9,61-00651,R0603-100k-63mW-1%-400ppm-50V,12
3,10,61-00672,R0603-442k-63mW-1%-400ppm-50V,1
3,11,61-00708,R1206-1R-250mW-1%-400ppm-200V,4
3,12,61-00608,C0603-27p-50V-20%-C0G,3
3,13,61-00620,C0603-100p-50V-10%-X7R,9
3,14,61-00612,C0603-33n-50V-10%-X7R,4
3,15,61-00609,C0603-100n-50V-20%-X5R,18
3,16,61-00598,C0603-1uF-25V-20%-X5R,4
3,17,61-00625,C0805-22u-10V-20%-X5R,6
3,18,61-00629,C1210-4u7-50V-20%-X5R,3
3,19,61-00170,150060GS75000,3
3,20,61-00445,653104124022,2
3,21,61-00164,687122149022,1
3,22,61-00092,742792097,4
3,23,61-00087,74402500047,1
3,24,61-00493,744029001,2
3,25,61-00150,824001,1
3,26,61-00083,865060553007,1
3,27,61-00167,875115150005,1
3,28,61-00359,9774070243R,1
3,29,61-00362,APDS-9005-020,1
3,30,61-00115,DMG1012UW-7,2
3,31,61-00192,LM393BIDSGR,1
3,32,61-00369,"LPC4330FET100,551",1
3,33,61-00197,"PMEG6010CEJ,115",1
3,34,61-00370,TMC5041-LA,1
3,35,61-00216,TMUX1209RSVR,1
3,36,61-00590,TPS62825ADMQR,1
3,37,61-00438,TPS62933DRLR,2
3,38,61-00106,TSX-3225 24.0000MF10Z-C,1
3,39,61-00360,W25Q32JVZPIQ,1
3,40,63-00020,"PCB (UNPOPULATED), Bridge Board, EVT",1
2,2,81-00014,"PCBA, MAINBOARD, PEARL ORB",1
3,1,61-00168,1-2199230-5,1
3,2,61-00171,2199230-3,1
3,3,61-00073,2199230-4,1
3,4,61-00191,2309413-1,1
3,5,62-00036,470531000,2
3,6,61-00154,61300211121,1
3,7,62-00037,61300411821,1
3,8,61-00155,61303021121,1
3,9,61-00156,61400826021,1
3,10,62-00011,62000211622,2
3,11,61-00159,629105150921,1
3,12,61-00160,636101111001,1
3,13,61-00161,645005114822,1
3,14,61-00162,665302124022,2
3,15,62-00038,665303124022,1
3,16,62-00039,665306124022,1
3,17,61-00069,685119134923,1
3,18,61-00163,687106149022,2
3,19,61-00164,687122149022,1
3,20,61-00071,693043020611,1
3,21,61-00605,C0402-100n-16V-20%-X5R,12
3,22,61-00606,C0402-220p-25V-10%-X7R,11
3,23,61-00609,C0603-100n-50V-20%-X5R,97
3,24,61-00616,C0603-10n-50V-20%-X5R,16
3,25,61-00608,C0603-27p-50V-20%-C0G,16
3,26,61-00611,C0603-2n2-50V-10%-X7R,4
3,27,61-00623,C0805-1u-25V-20%-X5R,19
3,28,61-00625,C0805-22u-10V-20%-X5R,38
3,29,61-00624,C0805-4u7-16V-20%-X5R,8
3,30,61-00628,C1206-10u-50V-20%-X5R,11
3,31,61-00629,C1210-4u7-50V-20%-X5R,27
3,32,61-00196,PMEG060V100EPDZ,3
3,33,61-00449,TLV431IDBVR,5
3,34,61-00215,TLV9152IDDFR,8
3,35,61-00218,UCC27282DRCR,2
3,36,61-00458,TMP112NAIDRLR,1
3,37,61-00438,TPS62933DRLR,7
3,38,61-00499,ECS-.327-12.5-12R-TR,1
3,39,61-00092,742792097,6
3,40,61-00151,74279252,10
3,41,61-00188,G639F100151102HR,1
3,42,61-00189,ICM-40627,1
3,43,61-00211,STM32G474VET6,1
3,44,61-00194,LVT12R0030GER,1
3,45,61-00026,LVT12R0050FER,1
3,46,61-00195,LVT12R0100FER,1
3,47,65-00004,MAX-M8Q-0-10,1
3,48,61-00113,DMP2006UFG-7,3
3,49,61-00190,INA240A1PW,1
3,50,61-00207,SN74AXC8T245PWR,1
3,51,61-00193,LM5122MH/NOPB,1
3,52,61-00212,TAS5805MPWP,1
3,53,61-00185,CSD15571Q2,2
3,54,61-00186,CSD18504Q5A,2
3,55,61-00187,CSD18512Q5B,3
3,56,61-00109,SN74LV1T34DCKR,3
3,57,61-00646,R0402-499R-63mW-1%-400ppm-50V,11
3,58,61-00636,R0402-4R7-63mW-1%-400ppm-50V,16
3,59,61-00599,R0603-0R-63mW-1%-400ppm-50V,70
3,60,61-00651,R0603-100k-63mW-1%-400ppm-50V,105
3,61,61-00652,R0603-10k-63mW-1%-400ppm-50V,25
3,62,61-00693,R0603-10k-63mW-0%1-50ppm-50V,10
3,63,61-00655,R0603-12k-63mW-1%-400ppm-50V,2
3,64,61-00791,R0603-18R-63mW-1%-400ppm-50V,2
3,65,61-00657,R0603-18k-63mW-1%-400ppm-50V,25
3,66,61-00685,R0603-1Meg-63mW-1%-400ppm-50V,14
3,67,61-00659,R0603-1k8-63mW-1%-400ppm-50V,22
3,68,61-00697,R0603-1k8-63mW-0%1-50ppm-50V,1
3,69,61-00667,R0603-27R-63mW-1%-400ppm-50V,181
3,70,61-00687,R0603-3R3-63mW-1%-400ppm-50V,8
3,71,61-00738,R0603-3k3-63mW-1%-400ppm-50V,2
3,72,61-00684,R0603-43k-63mW-1%-400ppm-50V,7
3,73,61-00672,R0603-442k-63mW-1%-400ppm-50V,8
3,74,61-00705,R0603-47k-63mW-0%1-50ppm-50V,10
3,75,61-00709,R1206-0R15-250mW-1%-800ppm-200V,1
3,76,61-00719,R1210-3R3-500mW-1%-100ppm-200V,10
3,77,61-00216,TMUX1209RSVR,3
3,78,61-00210,SN74LVC2T45DCUR,1
3,79,61-00173,BQ24640RVAR,1
3,80,61-00443,LM25117PSQ/NOPB,1
3,81,61-00103,SF-1206SA1000W-2,3
3,82,61-00790,SF-1206S200-2,1
3,83,61-00500,SMA6J15CA,1
3,84,61-00197,"PMEG6010CEJ,115",12
3,85,61-00250,"NX7002AK,215",17
3,86,61-00198,PMV30ENEAR,4
3,87,61-00213,"TCR2LF18,LM",1
3,88,61-00099,BAS70W-05-7-F,3
3,89,61-00115,DMG1012UW-7,32
3,90,61-00252,"PMF170XP,115",5
3,91,61-00150,824001,5
3,92,61-00217,USB2514B/M2,1
3,93,61-00106,TSX-3225 24.0000MF10Z-C,2
3,94,61-00501,ST25DV04K-IER6C3,1
3,95,64-00002,9774025360R,7
3,96,64-00006,9774060360R,2
3,97,64-00003,9774065151R,2
3,98,61-00083,865060553007,1
3,99,61-00166,860080678021,1
3,100,61-00444,875115252003,7
3,101,61-00498,850617022001,5
3,102,61-00157,74404054100,4
3,103,61-00153,7447714068,1
3,104,61-00152,744043220,2
3,105,61-00439,744062001,5
3,106,61-00488,744071039,2
3,107,61-00158,74439369033,2
3,108,61-00169,150060BS75000,3
3,109,61-00170,150060GS75000,14
3,110,63-00022,"PCB (UNPOPULATED), MAINBOARD, EVT",1
2,3,81-00015,"PCBA, FRONT UNIT, PEARL ORB",1
