Level,Item Number,Partnumber,Manufacturer P/N,Quantity
3,43,61-00609,C0603-100n-50V-20%-X5R,95
3,44,61-00623,C0805-1u-25V-20%-X5R,17
3,45,61-00624,C0805-4u7-16V-20%-X5R,9
3,46,61-00625,C0805-22u-10V-20%-X5R,38
3,47,61-00628,C1206-10u-50V-20%-X5R,11
3,48,61-00629,C1210-4u7-50V-20%-X5R,27
3,49,61-00636,R0402-4R7-63mW-1%-400ppm-50V,16
3,50,61-00646,R0402-499R-63mW-1%-400ppm-50V,9
3,51,61-00599,R0603-0R-63mW-1%-400ppm-50V,76
3,52,61-00687,R0603-3R3-63mW-1%-400ppm-50V,4
3,53,61-00667,R0603-27R-63mW-1%-400ppm-50V,190
3,54,61-00659,R0603-1k8-63mW-1%-400ppm-50V,15
3,55,61-00697,R0603-1k8-63mW-0%1-50ppm-50V,1
3,56,61-00738,R0603-3k3-63mW-1%-400ppm-50V,1
3,57,61-00693,R0603-10k-63mW-0%1-50ppm-50V,10
3,58,61-00652,R0603-10k-63mW-1%-400ppm-50V,25
3,59,61-00655,R0603-12k-63mW-1%-400ppm-50V,2
3,60,61-00657,R0603-18k-63mW-1%-400ppm-50V,25
3,61,61-00684,R0603-43k-63mW-1%-400ppm-50V,7
3,62,61-00705,R0603-47k-63mW-0%1-50ppm-50V,10
3,63,61-00651,R0603-100k-63mW-1%-400ppm-50V,103
3,64,61-00672,R0603-442k-63mW-1%-400ppm-50V,8
3,65,61-00685,R0603-1Meg-63mW-1%-400ppm-50V,7
3,66,61-00709,R1206-0R15-250mW-1%-800ppm-200V,1
3,67,61-00719,R1210-3R3-500mW-1%-100ppm-200V,10
3,68,61-00169,150060BS75000,3
3,69,61-00170,150060GS75000,14
3,70,61-00150,824001,7
3,71,61-00099,BAS70W-05-7-F,3
3,72,61-00739,BAT5405WH6327XTSA1,3
3,73,61-00173,BQ24640RVAR,1
3,74,61-00185,CSD15571Q2,2
3,75,61-00186,CSD18504Q5A,2
3,76,61-00187,CSD18512Q5B,3
3,77,61-00115,DMG1012UW-7,32
3,78,61-00113,DMP2006UFG-7,3
3,79,61-00499,ECS-.327-12.5-12R-TR,1
3,80,61-00189,ICM-40627,1
3,81,61-00190,INA240A1PW,1
3,82,61-00443,LM25117PSQ/NOPB,1
3,83,61-00193,LM5122MH/NOPB,1
3,84,61-00194,LVT12R0030GER,1
3,85,61-00026,LVT12R0050FER,1
3,86,61-00195,LVT12R0100FER,1
3,87,65-00004,MAX-M8Q-0-10,1
3,88,61-00019,NX7002AK,16
3,89,61-00196,PMEG060V100EPDZ,3
3,90,61-00197,"PMEG6010CEJ,115",5
3,91,61-00096,"PMF170XP,115-REV",4
3,92,61-00198,PMV30ENEAR,4
3,93,61-00103,SF-1206SA1000W-2,3
3,94,61-00289,SF-1206S100-2,1
3,95,61-00207,SN74AXC8T245PWR,1
3,96,61-00109,SN74LV1T34DCKR,3
3,97,61-00210,SN74LVC2T45DCUR,1
3,98,61-00500,SMA6J15CA,1
3,99,61-00501,ST25DV04K-IER6C3,1
3,100,61-00211,STM32G474VET6,1
3,101,61-00212,TAS5805MPWP,1
3,102,61-00213,"TCR2LF18,LM",1
3,103,61-00449,TLV431IDBVR,5
3,104,61-00215,TLV9152IDDFR,9
3,105,61-00458,TMP112NAIDRLR,1
3,106,61-00216,TMUX1209RSVR,3
3,107,61-00438,TPS62933DRLR,7
3,108,61-00106,TSX-3225 24.0000MF10Z-C,2
3,109,61-00218,UCC27282DRCR,2
3,110,61-00217,USB2514B/M2,1
3,111,63-00022,"PCB (UNPOPULATED), MAINBOARD, EVT",1
2,3,81-00015,"PCBA, FRONT UNIT, PEARL ORB",1
3,1,61-00457,687112182122,1
3,2,61-00312,ATE-1-V-T/R,1
3,3,61-00288,AXE530127,1
3,4,61-00290,DF37NC-30DS-0.4V(51),1
3,5,61-00282,MEC6-120-02-L-DV-A,2
3,6,61-00279,74279269,1
3,7,61-00620,C0603-100p-50V-10%-X7R,1
3,8,61-00609,C0603-100n-50V-20%-X5R,20
3,9,61-00598,C0603-1uF-25V-20%-X5R,112
3,10,61-00623,C0805-1u-25V-20%-X5R,11
3,11,61-00624,C0805-4u7-16V-20%-X5R,1
3,12,61-00625,C0805-22u-10V-20%-X5R,4
3,13,61-00626,C1206-22u-16V-20%-X5R,2
3,14,61-00629,C1210-4u7-50V-20%-X5R,18
3,15,61-00516,CRGP1210F10R,2
3,16,61-00731,CRCW12102R00FKTA,8
3,17,61-00730,CRCW12103R90FKEAHP,8
3,18,61-00599,R0603-0R-63mW-1%-400ppm-50V,22
3,19,61-00667,R0603-27R-63mW-1%-400ppm-50V,11
3,20,61-00649,R0603-100R-63mW-1%-400ppm-50V,1
3,21,61-00658,R0603-1k1-63mW-1%-400ppm-50V,1
3,22,61-00652,R0603-10k-63mW-1%-400ppm-50V,5
3,23,61-00689,R0603-27k-63mW-1%-400ppm-50V,1
3,24,61-00677,R0603-56k-63mW-1%-400ppm-50V,20
3,25,61-00704,R0603-91k-63mW-1%-400ppm-50V,1
3,26,61-00170,150060GS75000,1
3,27,61-00004,150060RS75000,1
3,28,61-00150,824001,7
3,29,61-00460,BU27030NUC-E2,1
3,30,61-00283,LM393BIDSGR-REV1,3
3,31,61-00313,LZ1-00R302-0000,13
3,32,61-00019,NX7002AK,1
3,33,61-00198,PMV30ENEAR,5
3,34,61-00291,SFH 9206,1
3,35,61-00292,SN74LVC112ADGVR,1
3,36,61-00448,SK6805-EC15,233
3,37,61-00314,SST-10-IRD-B50-S940,32
3,38,61-00265,SST-10-IRD-B50-T850,32
3,39,61-00215,TLV9152IDDFR,1
3,40,61-00458,TMP112NAIDRLR,1
3,41,61-00216,TMUX1209RSVR,1
3,42,61-00268,UCC27517DBVR,5
3,43,61-00269,VL53L1CBV0FY/1,1
3,44,63-00021,"PCB (UNPOPULATED), FRONT UNIT, EVT",1
2,4,81-00016,"PCBA, BATTERY CONNECTOR to ORB, PEARL ORB",1
3,1,62-00026,645005113322,1
3,2,61-00504,64500113722,5
3,3,61-00374,9774027151R,2
3,4,72-00019,UEBK-30256,1
3,5,61-00722,"Wire, TPC, 18 AWG, 1,58mm +/- 0,05mm, max. 20,00 Ohm/km at 20°C",710.0
3,6,63-00018,"PCB (UNPOPULATED), BATTERY CONNECTOR, EVT",1
2,7,81-00023,"PCBA, OPERATOR BUTTON, PEARL ORB",1
3,1,61-00270,430451025836,1
3,2,62-00043,61300411021,1
3,3,61-00625,C0805-22u-10V-20%-X5R,2
3,4,61-00599,R0603-0R-63mW-1%-400ppm-50V,1
3,5,61-00667,R0603-27R-63mW-1%-400ppm-50V,2
3,6,61-00448,SK6805-EC15,5
3,7,63-00016,"PCB (UNPOPULATED), OPERATOR BUTTON",1
2,11,61-00149,MTP006,1
2,12,61-00355,WDS250G2B0C,1
2,13,65-00003,VK000434,2
2,14,81-00031,Flashed Jetson Xavier NX Module,1
3,1,65-00008,Jetson Xavier NX Module,1
3,2,99-00001,OS Software,1
2,15,65-00014,Intel® Wi-Fi 6 AX200,1
2,16,65-00015,SIM7600G-H-M2,1
2,17,65-00020,IMX219-D120,1
2,18,65-00026,PD434048-900mAh 3.7V,1
2,19,75-00006,"LIQUID LENS, EL-12-30, OPTOTUNE",1
2,20,75-00016,MC201S,1
2,21,75-00019,2065600300,1
2,22,75-00035,VSM1069B,2
2,23,75-00058,EFF6989A3S-19MH4L,2
2,24,75-00059,1461531250,1
2,25,61-00454,687622100002,1
2,26,61-00455,687622050002,1
2,27,82-00001,"Custom Cable, 140mm length, 1mm Pitch, 2 Pin, Housing: 665002113322",2
3,1,62-00033,665002113322 Female Housing,2
3,2,62-00042,66500113722,4
3,3,61-00720,"Wire, TPC, 28 AWG, 0,70mm +/- 0,05mm, max. 216,00 Ohm/km at 20°C",280.0
2,28,82-00004,ASM cooling fan 9GA0412P3K01,1
3,1,65-00017,9GA0412P3K01,1
3,2,62-00031,470541000,1
3,3,62-00032,08500113,4
2,29,82-00006,ASM Speaker ND16FA-6,2
3,1,65-00011,ND16FA-6,1
3,2,62-00024,620002113322,1
3,3,62-00046,62000113722,2
3,4,61-00725,"Wire, TPC, 24 AWG, 0,92mm +/- 0,05mm, max. 88,00 Ohm/km at 20°C",180.0
2,30,82-00007,ASM main switch AS1D-5M-10-Z,1
3,1,65-00025,AS1D-5M-10-Z,1
3,2,62-00033,665002113322 Female Housing,1
3,3,62-00042,66500113722,2
3,4,61-00720,"Wire, TPC, 28 AWG, 0,70mm +/- 0,05mm, max. 216,00 Ohm/km at 20°C",340.0
2,31,82-00008,"Custom Cable, 140mm length, 1mm Pitch, 6 pin to 2 pin and 4 pin Housing: 6650XX113322",1
3,1,62-00033,665002113322 Female Housing,1
3,2,62-00044,665004113322 Female Housing,1
3,3,62-00045,665006113322 Female Housing,1
3,4,62-00042,66500113722,12
3,5,61-00720,"Wire, TPC, 28 AWG, 0,70mm +/- 0,05mm, max. 216,00 Ohm/km at 20°C",840.0
2,32,82-00009,"Custom Cable, 240mm length, 1mm Pitch, 6 pin to 2 pin and 4 pin Housing: 6650XX113322",1
3,1,62-00033,665002113322 Female Housing,1
3,2,62-00044,665004113322 Female Housing,1
3,3,62-00045,665006113322 Female Housing,1
3,4,62-00042,66500113722,12
3,5,61-00720,"Wire, TPC, 28 AWG, 0,70mm +/- 0,05mm, max. 216,00 Ohm/km at 20°C",1440.0
2,33,82-00010,"Custom Cable, 160mm length, 1mm Pitch, 3 Pin, Housing: 665003113322",2
3,1,62-00051,665003113322 Female Housing,2
3,2,62-00042,66500113722,6
3,3,61-00720,"Wire, TPC, 28 AWG, 0,70mm +/- 0,05mm, max. 216,00 Ohm/km at 20°C",480.0
2,34,74-00053,"Screw, ISO14583, M3(3)x8, T10 Hexalobular socket, Pan head, Steel 8.8, fully threaded, zinc-plated, -",5
2,35,74-00061,"Screw, ISO14579, M2.5(2.5)x5, T8 Hexalobular socket, Socket head, Steel 8.8, fully threaded, zinc-plated, -",2
2,36,74-00067,"Screw, ISO14580, M3(3)x4, T10 Hexalobular socket, low socket head, Steel 8.9, fully threaded, zinc-plated, -",1
2,37,79-00004,GE Silicones RTV 162 white,1
1,5,83-00013,"ASM, OUTER SHELL, PEARL ORB",1
2,1,71-00039,Shell Chrome Back,1
2,2,71-00040,Shell Antenna Cover,1
2,3,71-00041,Shell Chrome Front,1
2,4,71-00042,Shell Light Pipe,1
2,5,71-00044,Shell Clear Back,1
2,6,71-00045,Shell Clear Front,1
2,7,71-00046,Shell Chrom Bottom,1
2,8,71-00048,Shell Spacer,6
2,9,71-00056,Power Switch Cover,1
2,10,72-00023,Frame Retaining Ring,1
2,11,73-00001,Tamper Stick Label size: 0.75” (19.05 mm) x 2.0” (50.8 mm),1
2,12,74-00052,"Screw, WN 1451/KN 1038, K30(3)x12, T10 Hexalobular socket, Round with washer, Steel 10.9, fully threaded, zinc-plated, 380 HV",17
2,13,74-00054,"Screw,  KN6041, 1.6x10, T5 Hexalobular socket, flat countersunk head, stainless-steel, A2 - 1.4567, fully threaded, Bright-pickled and passivated, -",2
1,6,73-00004,Label WIP SN Product TT700,18
1,7,73-00005,Label Final SN TTL131-700-10,1
1,8,73-00006,Label Orb ID  TTL131-700-10,1
1,9,79-00001,Thermal conductive paste Arctic MX-2,1
1,10,79-00003,Henkel Loctite 243  threadlocker medium strength blue,1
1,11,79-00006,Henkel Loctite 222 threadlocker low strength purple,1
1,12,79-00007,Henkel Loctite 648 high strength retaining compound green,1

